experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,19,9,"['real 0.26', 'user 0.04', 'sys 0.04']",2767.0,0.16716100000000003,0.39234
2,19,10,"['real 0.25', 'user 0.02', 'sys 0.06']",2767.0,0.167215,0.383903
2,20,1,"['real 0.27', 'user 0.03', 'sys 0.05']",7.0,0.017781999999999992,0.255621
2,20,2,"['real 0.26', 'user 0.03', 'sys 0.05']",7.0,0.015349000000000002,0.248132
2,20,3,"['real 0.28', 'user 0.01', 'sys 0.07']",7.0,0.016598999999999975,0.260188
2,20,4,"['real 0.27', 'user 0.06', 'sys 0.04']",7.0,0.01794599999999999,0.244189
2,20,5,"['real 0.27', 'user 0.03', 'sys 0.05']",11.0,0.019122,0.256282
2,20,6,"['real 0.27', 'user 0.07', 'sys 0.02']",7.0,0.017433000000000004,0.257791
2,20,7,"['real 0.28', 'user 0.03', 'sys 0.05']",11.0,0.016854000000000008,0.262973
2,20,8,"['real 0.26', 'user 0.03', 'sys 0.05']",11.0,0.024695000000000022,0.262002
2,20,9,"['real 0.27', 'user 0.03', 'sys 0.05']",7.0,0.01677999999999999,0.246137
2,20,10,"['real 0.27', 'user 0.04', 'sys 0.04']",7.0,0.01657799999999998,0.258161
2,21,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,21,2,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,21,3,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,21,4,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,21,5,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,21,6,"['real 0.26', 'user 0.05', 'sys 0.04']",,,
2,21,7,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
2,21,8,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,21,9,"['real 0.25', 'user 0.05', 'sys 0.04']",,,
2,21,10,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,22,1,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
2,22,2,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
2,22,3,"['real 0.26', 'user 0.06', 'sys 0.03']",,,
2,22,4,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,22,5,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,22,6,"['real 0.28', 'user 0.05', 'sys 0.03']",,,
2,22,7,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,22,8,"['real 0.28', 'user 0.03', 'sys 0.05']",,,
2,22,9,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,22,10,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,23,1,"['real 0.26', 'user 0.03', 'sys 0.05']",2764.0,0.170154,0.377162
2,23,2,"['real 0.26', 'user 0.04', 'sys 0.04']",2766.0,0.145977,0.368842
2,23,3,"['real 0.24', 'user 0.02', 'sys 0.06']",2768.0,0.15979300000000002,0.371744
2,23,4,"['real 0.24', 'user 0.04', 'sys 0.04']",2769.0,0.154257,0.370969
2,23,5,"['real 0.25', 'user 0.03', 'sys 0.05']",2765.0,0.165238,0.379683
2,23,6,"['real 0.24', 'user 0.03', 'sys 0.05']",2768.0,0.15323799999999999,0.360089
2,23,7,"['real 0.24', 'user 0.03', 'sys 0.05']",2765.0,0.151344,0.358991
2,23,8,,,,
2,23,9,"['real 0.26', 'user 0.02', 'sys 0.07']",2765.0,0.149899,0.373257
2,23,10,"['real 0.24', 'user 0.05', 'sys 0.04']",2767.0,0.144778,0.356118
