experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,15,4,"['real 0.25', 'user 0.05', 'sys 0.04']",202.0,0.04822900000000002,0.264593
2,15,5,"['real 0.23', 'user 0.05', 'sys 0.03']",203.0,0.04494999999999999,0.243332
2,15,6,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.03850899999999999,0.246545
2,15,7,"['real 0.28', 'user 0.05', 'sys 0.03']",201.0,0.04192000000000001,0.279256
2,15,8,"['real 0.24', 'user 0.04', 'sys 0.04']",203.0,0.036889000000000005,0.238378
2,15,9,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.037853,0.25654
2,15,10,"['real 0.24', 'user 0.04', 'sys 0.04']",202.0,0.039575,0.246936
2,16,1,"['real 0.24', 'user 0.04', 'sys 0.04']",67.0,0.02918699999999999,0.235842
2,16,2,"['real 0.26', 'user 0.05', 'sys 0.03']",69.0,0.03223200000000001,0.255778
2,16,3,"['real 0.26', 'user 0.03', 'sys 0.05']",62.0,0.026172,0.246518
2,16,4,"['real 0.26', 'user 0.03', 'sys 0.05']",67.0,0.02770700000000001,0.248841
2,16,5,"['real 0.27', 'user 0.04', 'sys 0.04']",66.0,0.04030900000000001,0.276573
2,16,6,"['real 0.24', 'user 0.06', 'sys 0.02']",67.0,0.03148199999999998,0.241967
2,16,7,"['real 0.25', 'user 0.03', 'sys 0.06']",67.0,0.024791000000000007,0.253141
2,16,8,"['real 0.26', 'user 0.05', 'sys 0.04']",67.0,0.02297300000000002,0.24152
2,16,9,"['real 0.24', 'user 0.05', 'sys 0.03']",68.0,0.030270999999999992,0.238529
2,16,10,"['real 0.27', 'user 0.03', 'sys 0.06']",67.0,0.026809000000000027,0.25735
2,17,1,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,17,2,"['real 0.25', 'user 0.05', 'sys 0.04']",,,
2,17,3,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,17,4,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
