experiment,run,repetition,seed,migrationTechnique,protocol,memoryFootprintInflation [MB],preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,compressionEnabled,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
1,1,33,33,cold,proactiveExplicit,0,,,0.28838467597961426,0.9668614864349365,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,34,34,cold,proactiveExplicit,0,,,0.3001861572265625,0.9688599109649658,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,35,35,cold,proactiveExplicit,0,,,0.3065624237060547,0.9747586250305176,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,36,36,cold,proactiveExplicit,0,,,0.2824280261993408,0.9660136699676514,1.5M,,False,,,,,1.46M,1.46M,975.59K bytes/sec,1.00
1,1,37,37,cold,proactiveExplicit,0,,,0.29660773277282715,0.9598984718322754,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
1,1,38,38,cold,proactiveExplicit,0,,,0.2898216247558594,0.9607772827148438,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,39,39,cold,proactiveExplicit,0,,,0.28533172607421875,0.9819786548614502,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,40,40,cold,proactiveExplicit,0,,,0.2864086627960205,0.9654624462127686,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
1,1,41,41,cold,proactiveExplicit,0,,,0.29645681381225586,0.9618020057678223,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,42,42,cold,proactiveExplicit,0,,,0.2984273433685303,0.9664087295532227,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
