experiment,run,seedServer,migrationTechnique,memoryFootprintInflation [MB],compressionEnabled,preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
4,2,2,cold,0.0,False,,,0.3484537601470947,1.2133162021636963,12M,,,,,,12.33M,12.33M,8.22M bytes/sec,1.00
